ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
2000.0,High,Ticket 0 problem description,Resolved,IT_Support_A,2024-01-27 05:00:00,24
2001.0,Medium,Ticket 1 problem description,Resolved,IT_Support_C,2024-08-06 07:00:00,37
2002.0,High,Ticket 2 problem description,Open,IT_Support_C,2024-04-07 11:00:00,40
2003.0,Medium,Ticket 3 problem description,Resolved,IT_Support_A,2024-08-24 20:00:00,6
2004.0,Critical,Ticket 4 problem description,Resolved,IT_Support_B,2024-06-21 16:00:00,19
2005.0,High,Ticket 5 problem description,Open,IT_Support_C,2024-07-08 13:00:00,80
2006.0,Medium,Ticket 6 problem description,Resolved,IT_Support_A,2024-03-04 01:00:00,7
2007.0,Medium,Ticket 7 problem description,Resolved,IT_Support_A,2024-07-11 18:00:00,10
2008.0,High,Ticket 8 problem description,Resolved,IT_Support_A,2024-06-29 03:00:00,41
2009.0,High,Ticket 9 problem description,Resolved,IT_Support_A,2024-10-08 20:00:00,32
2010.0,High,Ticket 10 problem description,Resolved,IT_Support_C,2024-09-23 07:00:00,70
2011.0,Low,Ticket 11 problem description,In Progress,IT_Support_C,2024-01-11 03:00:00,46
2012.0,Medium,Ticket 12 problem description,Open,IT_Support_A,2024-04-22 06:00:00,15
2013.0,Medium,Ticket 13 problem description,Resolved,IT_Support_A,2024-08-19 02:00:00,30
2014.0,Low,Ticket 14 problem description,Resolved,IT_Support_A,2024-04-07 22:00:00,37
2015.0,High,Ticket 15 problem description,Resolved,IT_Support_A,2024-04-20 23:00:00,29
2016.0,Low,Ticket 16 problem description,Waiting for User,IT_Support_C,2024-09-02 21:00:00,75
2017.0,Medium,Ticket 17 problem description,Resolved,IT_Support_A,2024-03-09 23:00:00,4
2018.0,High,Ticket 18 problem description,Resolved,IT_Support_A,2024-10-15 03:00:00,20
2019.0,Medium,Ticket 19 problem description,Resolved,IT_Support_A,2024-08-26 19:00:00,32
2020.0,Low,Ticket 20 problem description,Resolved,IT_Support_B,2024-08-14 19:00:00,36
2021.0,Medium,Ticket 21 problem description,In Progress,IT_Support_A,2024-07-19 01:00:00,4
2022.0,Low,Ticket 22 problem description,Resolved,IT_Support_C,2024-03-13 08:00:00,61
2023.0,Medium,Ticket 23 problem description,In Progress,IT_Support_A,2024-10-22 16:00:00,17
2024.0,Low,Ticket 24 problem description,Resolved,IT_Support_C,2024-05-08 10:00:00,83
2025.0,Medium,Ticket 25 problem description,In Progress,IT_Support_B,2024-04-13 09:00:00,22
